City,State,Status,GOLF2020Rank,GOLF2022Rank,GOLF2024Rank,GD2018Rank,GD2021Rank,GD2023Rank,GD2025PublicRank,Slope,Year,GD2025Rank,Course,GD2025ShotOptions,GD2025Character,GD2025Challenge,GD2025LayoutVariety,GD2025Fun,GD2025Aesthetics,GD2025Conditioning,GD2021ShotOptions,GD2021Challenge,GD2021LayoutVariety,GD2021Destinctiveness,GD2021Aesthetics,GD2021Conditioning,GD2021Character,GD2021Score,GD2023ShotOptions,GD2023Character,GD2023Challenge,GD2023LayoutVariety,GD2023Fun,GD2023Aesthetics,GD2023Conditioning,GD2023Score
Bridgeport,WV,Private,NA,NA,NA,60,87,94,NA,144,NA,92,Pete Dye Golf Club,7.6565,7.634,7.6629,7.7588,7.4789,7.7075,7.2168,7.7471,7.8033,7.8493,7.8004,7.8298,7.208,7.5173,61.50229999999999,7.6426,7.5679,7.6663,7.7321,7.388,7.7155,7.075,68.1621
Santa Cruz,CA,Public,59,58,67,103,98,96,15,141,1929,93,Pasatiempo Golf Club,7.6712,7.6725,7.6481,7.7847,7.5397,7.4395,7.3703,7.6707,7.5907,7.8624,7.8044,7.4966,7.4038,7.5761,61.0754,7.6039,7.6145,7.605,7.7434,7.4847,7.422,7.3108,68.13159999999999
Louisville,KY,Private,NA,NA,NA,81,93,87,NA,149,1987,94,Valhalla Golf Club,7.6158,7.5974,7.7576,7.6023,7.4785,7.5045,7.6847,7.6884,7.8015,7.661,7.644,7.5526,7.6051,7.665,61.306,7.625,7.6257,7.8303,7.6175,7.504,7.4866,7.712,68.6436
Banner Elk,NC,Private,NA,NA,NA,90,86,77,NA,149,2003,95,Diamond Creek Golf Club,7.4691,7.7101,7.5034,7.4323,7.4645,7.9119,8.0155,7.4904,7.5681,7.4109,7.5964,7.9906,8.1077,7.8758,61.530300000000004,7.4811,7.7373,7.5501,7.4381,7.392,7.9639,8.1101,68.5918
Dallas,TX,Private,NA,NA,NA,59,71,83,NA,147,2002,96,Dallas National Golf Club,7.5607,7.6704,7.6067,7.5841,7.4342,7.5674,7.7965,7.6874,7.7058,7.709,7.658,7.7049,7.95,7.8294,61.931900000000006,7.5838,7.723,7.6356,7.6137,7.4369,7.6152,7.836,68.6417
River Hills,WI,Private,71,75,78,71,70,86,NA,136,1929,97,Milwaukee Country Club,7.5673,7.7857,7.4402,7.5607,7.6533,7.6319,7.78,7.6036,7.5291,7.6454,7.7166,7.7814,7.9992,8.0552,61.9341,7.5519,7.8285,7.4482,7.556,7.6448,7.6709,7.7968,68.605
Locust Valley,NY,Private,56,68,66,NA,109,97,NA,134,NA,98,Piping Rock Club,7.5891,7.708,7.2963,7.6829,7.6272,7.5076,7.8204,7.5286,7.2804,7.6517,7.6367,7.5464,7.8866,7.7254,60.7844,7.5858,7.7613,7.3324,7.6865,7.622,7.4577,7.8212,68.53920000000001
Carmel-by-the-sea,IN,Private,NA,NA,NA,94,106,101,NA,146,1967,99,Crooked Stick Golf Club,7.5869,7.6487,7.6708,7.5659,7.4603,7.3426,7.727,7.6194,7.6869,7.6097,7.5126,7.4265,7.7564,7.7105,60.9414,7.5489,7.5994,7.6311,7.5226,7.446,7.2817,7.6898,67.791
Newtown Square,PA,Private,89,81,84,78,94,95,NA,138,NA,100,Aronimink Golf Club,7.5593,7.736,7.6902,7.4344,7.4441,7.5511,7.7285,7.6434,7.7352,7.4296,7.5492,7.6022,7.7372,7.9167,61.256899999999995,7.5597,7.8078,7.7147,7.4077,7.4309,7.5675,7.731,68.1867
Chatham,MA,Private,53,57,50,154,128,102,NA,124,NA,101,Eastward Ho! Country Club,7.433,7.8034,7.2801,7.5296,7.6158,7.9662,7.6954,7.3137,7.0565,7.4354,7.7634,7.9622,7.6182,7.7374,60.200500000000005,7.3896,7.7623,7.2002,7.501,7.5882,7.9482,7.7073,67.9874
Arcadia,MI,Public,NA,NA,NA,68,83,92,16,132,1999,102,Arcadia Bluffs Golf Club (Bluffs),7.4813,7.5213,7.4985,7.529,7.534,7.981,7.4153,7.5198,7.5731,7.6418,7.93,8.1446,7.6367,7.6107,61.576499999999996,7.5157,7.6159,7.5038,7.5802,7.5524,8.0363,7.4795,68.3797
Bristol,VA,Private,NA,NA,NA,120,107,105,NA,141,NA,103,The Olde Farm,7.4876,7.6403,7.3856,7.5122,7.5263,7.5912,7.7915,7.4235,7.4143,7.4826,7.5101,7.6553,8.057,7.8912,60.8575,7.414,7.6582,7.3627,7.4022,7.5056,7.5621,7.8008,67.5218
Teton Village,WY,Private,NA,NA,NA,123,123,98,NA,NA,2009,104,Shooting Star Golf Club,7.4594,7.5431,7.4291,7.4702,7.5874,7.9021,7.6666,7.3954,7.3554,7.4057,7.5633,7.9147,7.7989,7.6637,60.4925,7.419,7.536,7.4093,7.4425,7.5183,7.8483,7.6996,67.7345
Parker,CO,Private,NA,NA,NA,111,120,112,NA,149,2008,105,Colorado Golf Club,7.5406,7.5098,7.5533,7.5655,7.3635,7.5203,7.5292,7.5364,7.5788,7.6066,7.5352,7.5485,7.6054,7.5846,60.53190000000001,7.5107,7.52,7.5494,7.5494,7.3291,7.5041,7.5331,67.5559
Atlanta,GA,Private,NA,NA,NA,119,129,150,NA,142,1913,106,East Lake Golf Club,7.5495,7.7117000000000004,7.5698,7.3741,7.4175,7.4105,7.7004,7.4452,7.5654,7.2263,7.4017,7.4467,7.6453,8.0221,60.1979,7.3115,7.8636,7.4833,7.1459,7.3139,7.2738,7.514,66.3634
Wayzata,MN,Private,NA,NA,NA,69,100,100,NA,NA,NA,107,Spring Hill Golf Club,7.4371,7.5486,7.5203,7.465,7.3366,7.6699,7.6941,7.5101,7.6265,7.5074,7.5631,7.7597,7.8403,7.7018,61.019000000000005,7.4731,7.5703,7.6202,7.4812,7.317,7.6675,7.7486,67.8322
Olympia Fields,IL,Private,NA,NA,NA,79,88,99,NA,150,NA,108,Olympia Fields Country Club (North),7.5043,7.5772,7.7214,7.4547,7.3107,7.3705,7.6314,7.7048,7.8476,7.5996,7.5065,7.5468,7.777,7.7735,61.46059999999999,7.5564,7.6338,7.7271,7.4605,7.3641,7.3935,7.652,67.8043
Kingsley,MI,Private,79,90,99,126,121,110,NA,NA,2001,109,Kingsley Club,7.5219,7.548,7.4293,7.5906,7.4479,7.4413,7.5706,7.5505,7.4154,7.6794,7.6008,7.5018,7.7003,7.5256,60.5243,7.5575,7.5084,7.4254,7.6305,7.4365,7.4364,7.5996,67.78229999999999
Locust Valley,NY,Private,62,61,53,136,133,129,NA,136,NA,110,The Creek,7.3969,7.7154,7.2134,7.6234,7.632,7.7606,7.4666,7.3828,7.1577,7.6057,7.6487,7.7859,7.3663,7.758,60.0879,7.3423,7.7081,7.1778,7.566,7.6125,7.7197,7.3691,67.4038
Columbus,TX,Private,NA,NA,NA,NA,NA,NA,NA,NA,2023,111,The Big Easy Ranch: The Covey,7.5217,7.5037,7.4141,7.5153,7.5143,7.4976,7.6841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lutherville Timonium,MD,Private,75,87,95,NA,102,106,NA,141,1926,112,Baltimore Country Club (East),7.4722,7.5859,7.489,7.5716,7.4017,7.4004,7.5926,7.5815,7.5416,7.6869,7.5715,7.4771,7.8229,7.7381,61.0011,7.4954,7.6394,7.5019,7.5862,7.5013,7.4076,7.6427,67.85610000000001
Sugar Grove,IL,Private,NA,NA,NA,88,90,108,NA,153,NA,113,Rich Harvest Farms,7.4357,7.5775,7.6882,7.4472,7.2012,7.4955,7.613,7.5405,7.7989,7.6344,7.6151,7.6653,7.8149,7.7777,61.3873,7.3676,7.6278,7.7309,7.4514,7.1502,7.5087,7.6162,67.2718
Hanahan,SC,Private,47,44,47,87,99,104,NA,132,1925,114,Yeamans Hall Club,7.5117,7.9008,7.1767,7.5502,7.7058,7.5112,7.4237,7.6181,7.342,7.6908,7.6957,7.6054,7.4086,8.0699,61.04860000000001,7.4935,7.9275,7.2184,7.5406,7.762,7.464,7.4027,67.8428
Carmel-by-the-sea,CA,Private,NA,NA,NA,93,103,103,NA,143,2000,115,The Preserve Golf Club,7.3872,7.5809,7.3917,7.4342,7.4628,7.7708,7.7331,7.4372,7.4438,7.5073,7.6341,7.9017,7.8376,7.7837,60.982600000000005,7.4037,7.6734,7.4228,7.4822,7.5138,7.8408,7.7624,67.985
